_id,name,salary
614edb564d81b9031984d350,Python разработчик,до  380000   руб.  на руки 
614edb594d81b9031984d351,Junior Data Engineer (Python),от  120000  до  120000   руб.  до вычета налогов 
614edb5c4d81b9031984d352,Разработчик Python (Junior),от  80000   руб.  на руки 
614edb5e4d81b9031984d353,Junior Python developer,от  45000  до  60000   руб.  до вычета налогов 
614edb604d81b9031984d354,Стажер разработчик Python,от  20000  до  50000   руб.  на руки 
614edb634d81b9031984d355,Senior data engineer (Python),от  4000  до  6000   USD  до вычета налогов 
614edb664d81b9031984d356,Data Scientist,з/п не указана 
614edb684d81b9031984d357,Middle-backend Python разработчик / программист,от  180000  до  220000   руб.  на руки 
614edb6b4d81b9031984d358,Python Developer,з/п не указана 
614edb6d4d81b9031984d359,Data Scientist,з/п не указана 
614edb6f4d81b9031984d35a,Data Scientist,от  200000   руб.  до вычета налогов 
614edb714d81b9031984d35b,Senior data engineer (python),от  4000  до  6000   USD  до вычета налогов 
614edb744d81b9031984d35c,Web-программист Python (Middle/Senior),от  170000   руб.  на руки 
614edb764d81b9031984d35d,Middle Python developer,з/п не указана 
614edb794d81b9031984d35e,Team Lead Python Engineer,до  8000   USD  на руки 
614edb7c4d81b9031984d35f,Data Engineer в Сбере,от  300000   руб.  до вычета налогов 
614edb834d81b9031984d360,Старший программист Python,от  4000  до  5000   USD  до вычета налогов 
614edb864d81b9031984d361,Python - разработчик в Сбере,от  300000   руб.  до вычета налогов 
614edb894d81b9031984d362,Разработчик Python (средний уровень),от  3000  до  4000   USD  до вычета налогов 
614edb8e4d81b9031984d363,Python-разработчик,з/п не указана 
614edc0596d402cd9ab1fcd8,Python разработчик,до  380000   руб.  на руки 
614edc0896d402cd9ab1fcdb,Разработчик Python (Junior),от  80000   руб.  на руки 
614edc0996d402cd9ab1fcdc,Junior Data Engineer (Python),от  120000  до  120000   руб.  до вычета налогов 
614edc0d96d402cd9ab1fcde,Junior Python developer,от  45000  до  60000   руб.  до вычета налогов 
614edc0f96d402cd9ab1fce0,Senior data engineer (Python),от  4000  до  6000   USD  до вычета налогов 
614edc1196d402cd9ab1fce2,Стажер разработчик Python,от  20000  до  50000   руб.  на руки 
614edc1396d402cd9ab1fce4,Data Scientist,з/п не указана 
614edc1696d402cd9ab1fce5,Middle-backend Python разработчик / программист,от  180000  до  220000   руб.  на руки 
614edc1896d402cd9ab1fce6,Python Developer,з/п не указана 
614edc1a96d402cd9ab1fcea,Data Scientist,от  200000   руб.  до вычета налогов 
614edc1c96d402cd9ab1fcec,Data Scientist,з/п не указана 
614edc1c96d402cd9ab1fced,Senior data engineer (python),от  4000  до  6000   USD  до вычета налогов 
614edc1f96d402cd9ab1fcef,Web-программист Python (Middle/Senior),от  170000   руб.  на руки 
614edc2296d402cd9ab1fcf1,Middle Python developer,з/п не указана 
614edc2896d402cd9ab1fcf2,Data Engineer в Сбере,от  300000   руб.  до вычета налогов 
614edc2b96d402cd9ab1fcf5,Team Lead Python Engineer,до  8000   USD  на руки 
614edc2e96d402cd9ab1fcf8,Старший программист Python,от  4000  до  5000   USD  до вычета налогов 
614edc3096d402cd9ab1fcfc,Python - разработчик в Сбере,от  300000   руб.  до вычета налогов 
614edc3396d402cd9ab1fcfd,Разработчик Python (средний уровень),от  3000  до  4000   USD  до вычета налогов 
614edc3796d402cd9ab1fcff,Python-разработчик,з/п не указана 
614edc0796d402cd9ab1fcd9,Разработчик Python / Fastapi,100000  руб. месяц 
614edc0796d402cd9ab1fcda,"Full-stack Developer (Python, Javascript)",350000 430000  руб. месяц 
614edc0b96d402cd9ab1fcdd,"Программист-инженер С++, Python",150000 175000  руб. месяц 
614edc0f96d402cd9ab1fcdf,Python developer,100000  руб. месяц 
614edc1096d402cd9ab1fce1,"Backend-разработчик (PHP, Ruby, Python)",от  100000руб. месяц 
614edc1296d402cd9ab1fce3,Разработчик Python (middle/senior),80000 95000  руб. месяц 
614edc1896d402cd9ab1fce7,Программист Python,80000 95000  руб. месяц 
614edc1896d402cd9ab1fce8,Backend-разработчик Python,100000 120000  руб. месяц 
614edc1996d402cd9ab1fce9,Python-разработчик,от  100000руб. месяц 
614edc1c96d402cd9ab1fceb,Middle Python разработчик (Продукт Залоговая экспертиза),80000 95000  руб. месяц 
614edc1d96d402cd9ab1fcee,Senior Python Backend Developer / WEB-разработчик,80000 95000  руб. месяц 
614edc2196d402cd9ab1fcf0,Junior / Pre-middle Python Developer,от  49000руб. месяц 
614edc2896d402cd9ab1fcf3,Python developer (Backend) в международную IT-компанию,
614edc2996d402cd9ab1fcf4,Backend Developer Python,
614edc2b96d402cd9ab1fcf6,Backend Python Django Developer Data Science Computer Vision ML Engineer,
614edc2b96d402cd9ab1fcf7,Senior Python разработчик,80000 95000  руб. месяц 
614edc2e96d402cd9ab1fcf9,Разработчик Android (Kotlin),от  90000руб. месяц 
614edc2f96d402cd9ab1fcfa,Инженер (программирование),от  40000руб. месяц 
614edc2f96d402cd9ab1fcfb,IT-специалист,от  45000руб. месяц 
614edc3596d402cd9ab1fcfe,Системный администратор Windows Linux,80000 95000  руб. месяц 
614edc3796d402cd9ab1fd00,Ведущий программист микроконтроллеров на языке С++,80000 95000  руб. месяц 
614edc3796d402cd9ab1fd01,Специалист технической поддержки,от  15000руб. месяц 
614edc3b96d402cd9ab1fd02,Специалист службы поддержки (с техническими знаниями),от  30000руб. месяц 
614edc3d96d402cd9ab1fd03,Преподаватель программирования и робототехники,от  80000руб. месяц 
614edc4196d402cd9ab1fd04,Программист-разработчик C#,от  84000руб. месяц 
614edc4496d402cd9ab1fd05,Разработчик встроенного ПО,80000 95000  руб. месяц 
614edc4696d402cd9ab1fd06,Аналитик,от  43000руб. месяц 
614edc4996d402cd9ab1fd07,Системный администратор,75000  руб. месяц 
614edc4c96d402cd9ab1fd08,Старший инженер в отдел разработки и сопровождения аналитических систем / Старший QV инженер,до  110000руб. месяц 
614edc5196d402cd9ab1fd09,Разработчик SQL,80000 95000  руб. месяц 
614edc5296d402cd9ab1fd0a,Программист 1С,от  100000руб. месяц 
614edc5296d402cd9ab1fd0b,Продуктовый аналитик,
614edc5696d402cd9ab1fd0c,Data Engineer (Spark/Python),от  15000руб. месяц 
614edc5796d402cd9ab1fd0d,Аналитик,
614edc5b96d402cd9ab1fd0e,QA Engineer / Тестировщик (Python),от  150000руб. месяц 
614edc5f96d402cd9ab1fd0f,Разработчик Python (риск-стратегий),45000 55000  руб. месяц 
614edc6096d402cd9ab1fd10,Разработчик Python / Django,от  80000руб. месяц 
614edc6396d402cd9ab1fd11,Python Backend Team Lead,
614edc6596d402cd9ab1fd12,Teamlead команды разработки с Python,
614edc6896d402cd9ab1fd13,"Аналитик в отдел планирования (SQL, Python/R)",
614edc7696d402cd9ab1fd14,Руководитель направления операционного мониторинга,
614edc7796d402cd9ab1fd15,Программист 1С,от  100000руб. месяц 
614edc7896d402cd9ab1fd16,Web-мастер,от  33000руб. месяц 
614edc7c96d402cd9ab1fd17,Инженер-расчетчик (СКБ ГТУ/Сектор промышленных компрессоров),от  50000руб. месяц 
614edc7e96d402cd9ab1fd18,Программист 1С,от  100000руб. месяц 
614edc8196d402cd9ab1fd19,Инженер VoIP,от  50000руб. месяц 
614edc8196d402cd9ab1fd1a,Системный администратор Linux,80000 95000  руб. месяц 
614edc8296d402cd9ab1fd1b,Программист-разработчик,от  75000руб. месяц 
614edc8796d402cd9ab1fd1c,Инженер IT,от  69300руб. месяц 
614edc8896d402cd9ab1fd1d,Тестировщик ПО и радиоустройств,от  150000руб. месяц 
614edc8a96d402cd9ab1fd1e,Ведущий программист С/С++ / Программист С (С++ микроконтроллеров),от  80000руб. месяц 
614edc8d96d402cd9ab1fd1f,DevOps инженер,от  69300руб. месяц 
614edc8e96d402cd9ab1fd20,Аналитик данных,от  35000руб. месяц 
614edc9296d402cd9ab1fd21,Разработчик программного обеспечения,80000 95000  руб. месяц 
614edc9296d402cd9ab1fd22,"Инженер, научный сотрудник (электрохимия)",от  35000руб. месяц 
614edc9796d402cd9ab1fd23,Ведущий специалист в группу сопровождения процессов взыскания,127700 157300  руб. месяц 
614edc9896d402cd9ab1fd24,Техник,от  35000руб. месяц 
614edc9b96d402cd9ab1fd25,DevOps‐инженер,от  69300руб. месяц 
614edc9d96d402cd9ab1fd26,Программист-аналитик,38000 47500  руб. месяц 
614edca496d402cd9ab1fd27,Ведущий инженер технической поддержки,от  72000руб. месяц 
614edca896d402cd9ab1fd28,IT-специалист,60000  руб. месяц 
614edca896d402cd9ab1fd29,Программист со знанием машинного обучения и нейронных сетей / Deep Learning Engineer,150000 170000  руб. месяц 
614edca996d402cd9ab1fd2a,Программист С++,150000 170000  руб. месяц 
614edcae96d402cd9ab1fd2b,Специалист по информационным системам,от  80000руб. месяц 
614edcae96d402cd9ab1fd2c,Системный администратор,80000 95000  руб. месяц 
614edcb096d402cd9ab1fd2d,Web-разработчик,от  100000руб. месяц 
614edcb196d402cd9ab1fd2e,Middle Full-stack Developer,175000 200000  руб. месяц 
614edcb696d402cd9ab1fd2f,Fullstack веб-разработчик,29700  руб. месяц 
614edcb896d402cd9ab1fd30,Senior / middle Ruby on rails Developer (в продуктовую компанию),до  350000руб. месяц 
614edcb996d402cd9ab1fd31,Lead Backend Developer,260000 320000  руб. месяц 
614edcbb96d402cd9ab1fd32,DevOps Engineer (Azure),250000 300000  руб. месяц 
614edcbb96d402cd9ab1fd33,Веб-программист,до  40000руб. месяц 
614edcc096d402cd9ab1fd34,Преподаватель компьютерных курсов,от  80000руб. месяц 
614edcc296d402cd9ab1fd35,Начинающий Программист С/С++ микроконтроллеров,80000 95000  руб. месяц 
614edcc596d402cd9ab1fd36,Ведущий аналитик,
614edcc696d402cd9ab1fd37,Ведущий инженер по данным,80000  руб. месяц 
614edcc896d402cd9ab1fd38,Data Scientist,до  150000руб. месяц 
614edccf96d402cd9ab1fd39,Программист 1C,120000 150000  руб. месяц 
614edcd196d402cd9ab1fd3a,SEO-оптимизатор,до  110000руб. месяц 
614edcd396d402cd9ab1fd3b,С/С developer (Synapse),
614edcd796d402cd9ab1fd3c,Инженер-программист,от  80000руб. месяц 
614edcdb96d402cd9ab1fd3d,Учитель информатики / робототехники (основная школа и профильное образование),от  79000руб. месяц 
614edcdd96d402cd9ab1fd3e,Ведущий специалист отдела информационных технологий,от  65000руб. месяц 
614edcde96d402cd9ab1fd3f,Middle специалист по автоматическому тестированию веб-приложений / QA инженер / Тестировщик,от  150000руб. месяц 
614edce096d402cd9ab1fd40,Компьютерный лингвист,от  50000руб. месяц 
614edce096d402cd9ab1fd41,Fullstack Developer,100000 120000  руб. месяц 
614edce196d402cd9ab1fd42,Инженер-схемотехник,от  40000руб. месяц 
614edce596d402cd9ab1fd43,Системный инженер (DevOps),от  69300руб. месяц 
614edce896d402cd9ab1fd44,Руководитель по внедрению проектов,от  45000руб. месяц 
614edcee96d402cd9ab1fd45,Ведущий программист Perl,80000 95000  руб. месяц 
614edcee96d402cd9ab1fd46,Аналитик,
614edcf296d402cd9ab1fd47,Ведущий инженер-программист / Разработчик программных решений,150000 175000  руб. месяц 
614edcf396d402cd9ab1fd48,"Backend-разработчик (PHP, Middle)",от  100000руб. месяц 
614edcf796d402cd9ab1fd49,Программист 1С,от  100000руб. месяц 
614edcf796d402cd9ab1fd4a,Преподаватель программирования,от  36000руб. месяц 
614edcfa96d402cd9ab1fd4b,Инженер-разработчик,150000  руб. месяц 
614edcfb96d402cd9ab1fd4c,"Главный инженер, технический директор",70000  руб. месяц 
614edcfb96d402cd9ab1fd4d,Менеджер по персоналу,от  97200руб. месяц 
614edcff96d402cd9ab1fd4e,Backend разработчик,150000 170000  руб. месяц 
614edd0796d402cd9ab1fd4f,ML engineer / Data scientist,
614edd0796d402cd9ab1fd50,DevOps инженер,от  69300руб. месяц 
614edd0796d402cd9ab1fd51,Тестировщик ПО со знанием английского языка,от  150000руб. месяц 
614edd0b96d402cd9ab1fd52,Инженер-физик,от  80000руб. месяц 
614edd0c96d402cd9ab1fd53,Ведущий разработчик серверной части,80000 95000  руб. месяц 
614edd0c96d402cd9ab1fd54,"Системный администратор, IT-специалист",от  72849руб. месяц 
614edd0d96d402cd9ab1fd55,Аналитик мобильных приложений / Игровой Аналитик (junior),
614edd0d96d402cd9ab1fd56,Системный администратор Linux,от  70000руб. месяц 
614edd1296d402cd9ab1fd57,Инженер технической поддержки,от  72000руб. месяц 
614edd1396d402cd9ab1fd58,TeamLead развития решений по управлению данными (г. Сочи),
614edd1896d402cd9ab1fd59,Специалист по информационным системам,до  32000руб. месяц 
614edd1996d402cd9ab1fd5a,Преподаватель компьютерных курсов (удаленно),от  80000руб. месяц 
614edd1f96d402cd9ab1fd5b,Инженер-программист ЧМИ (SCADA),от  75000руб. месяц 
614edd2396d402cd9ab1fd5c,Преподаватель компьютерных курсов,от  80000руб. месяц 
614edd2396d402cd9ab1fd5d,Программист,160000  руб. месяц 
614edd2496d402cd9ab1fd5e,Ведущий инженер,от  89000руб. месяц 
614edd2696d402cd9ab1fd5f,Ведущий аудитор,500  руб. час 20000 25000  руб. месяц 
614edd2996d402cd9ab1fd60,Специалист по обработке данных (Аналитик данных),до  32000руб. месяц 
614edd2f96d402cd9ab1fd61,Учитель информатики,от  79000руб. месяц 
614edd3296d402cd9ab1fd62,Преподаватель программирования / видеоблогинга,от  36000руб. месяц 
614edd3296d402cd9ab1fd63,Эксперт по Cisco Security,125000 150000  руб. месяц 
614edd3696d402cd9ab1fd64,Программист,от  100000руб. месяц 
614edd3896d402cd9ab1fd65,Главный специалист отдела систем мониторинга и наблюдения,до  32000руб. месяц 
614edd3b96d402cd9ab1fd66,Аналитик (Junior),от  35000руб. месяц 
614edd3c96d402cd9ab1fd67,Педагог дополнительного образования в сфере IT,от  35000руб. месяц 
614edd4296d402cd9ab1fd68,Системный инженер / DevOps (удаленная работа),от  69300руб. месяц 
614edd4396d402cd9ab1fd69,Инженер BMS/АСУЗ,от  69300руб. месяц 
614edd4896d402cd9ab1fd6a,Преподаватель компьютерных курсов для детей,от  36000руб. месяц 
614edd4896d402cd9ab1fd6b,"Аналитик поддержки приложений (ERP, CRM)",от  72849руб. месяц 
614edd4b96d402cd9ab1fd6c,Frontend программист,160000  руб. месяц 
614edd5196d402cd9ab1fd6d,Golang (Go) Developer в международную IT-компанию,
614edd5196d402cd9ab1fd6e,"Преподаватель it-курсов, программирования, информатики",60000 70000  руб. месяц 
614edd5696d402cd9ab1fd6f,Junior Analyst / Младший аналитик (удаленная работа),от  34000руб. месяц 
614edd5796d402cd9ab1fd70,Web-программист,160000  руб. месяц 
614edd5796d402cd9ab1fd71,FullStack разработчик (автоматизация процессов и алгоритмов выявления мошенничества),150000  руб. месяц 
614edd5b96d402cd9ab1fd72,Web-аналитик,от  34000руб. месяц 
614edd5c96d402cd9ab1fd73,Преподаватель программирования и IT технологий,от  40000руб. месяц 
614edd6196d402cd9ab1fd74,Data Engineer / Support Engineer,
614edd6596d402cd9ab1fd75,DevOps-инженер,от  69300руб. месяц 
614edd6896d402cd9ab1fd76,Педагог дополнительного образования,от  55000руб. месяц 
614edd6b96d402cd9ab1fd77,QA Automation Engineer,
614edd6c96d402cd9ab1fd78,Системный администратор,27000 33000  руб. месяц 
614edd6f96d402cd9ab1fd79,Программист 1С,от  80000руб. месяц 
614edd6f96d402cd9ab1fd7a,Специалист информационно-коммуникационных систем / Системный администратор 2-я линия,от  70000руб. месяц 
614edd7296d402cd9ab1fd7b,"Преподаватель программирования, веб-разработки",от  22000руб. месяц 
614edd7496d402cd9ab1fd7c,Back-программист,от  120000руб. месяц 
614edd7596d402cd9ab1fd7d,"Системный администратор, IT-специалист",от  72849руб. месяц 
614edd7896d402cd9ab1fd7e,DevOps инженер,от  69300руб. месяц 
614edd7996d402cd9ab1fd7f,Data Analyst,от  100000руб. месяц 
614edd7d96d402cd9ab1fd80,Учитель информатики,от  79000руб. месяц 
614edd7d96d402cd9ab1fd81,Специалист 1 разряда отдела мониторинга функционирования АИС ФНС России,от  60000руб. месяц 
614edd7e96d402cd9ab1fd82,Технический писатель (разработка программного обеспечения),
614edd8196d402cd9ab1fd83,Web-программист,150000 170000  руб. месяц 
614edd8396d402cd9ab1fd84,Аналитик данных,30000 37000  руб. месяц 
614edd8996d402cd9ab1fd85,Администратор информационных систем,от  50000руб. месяц 
614edd8c96d402cd9ab1fd86,Аналитик,от  72849руб. месяц 
614edd8c96d402cd9ab1fd87,C разработчик,160000  руб. месяц 
614edd9196d402cd9ab1fd88,Программист микроконтроллеров,150000 170000  руб. месяц 
614edd9496d402cd9ab1fd89,Backend Developer,от  80000руб. месяц 
614edd9896d402cd9ab1fd8a,Инженер-программист по интеграции систем,150000 175000  руб. месяц 
614edd9a96d402cd9ab1fd8b,Администратор сопровождения,от  50000руб. месяц 
614edd9b96d402cd9ab1fd8c,DevOps,
614edda096d402cd9ab1fd8d,QA automation,
614edda196d402cd9ab1fd8e,DevOps-инженер,от  40000руб. месяц 
614edda696d402cd9ab1fd8f,Data scientist,150000 175000  руб. месяц 
614edda796d402cd9ab1fd90,Customer Journey Expert кластера Благосостояние,
614eddaa96d402cd9ab1fd91,Ведущий инженер по сопровождению в департамент ИТ блока Финансы,от  89000руб. месяц 
614eddad96d402cd9ab1fd92,Аналитик данных (Data Scientist),от  30000руб. месяц 
614eddad96d402cd9ab1fd93,Дежурный администратор,
614eddb396d402cd9ab1fd94,DevOps-инженер контейнеризированных решений,от  65000руб. месяц 
614eddb496d402cd9ab1fd95,Data Scientist,до  150000руб. месяц 
614eddb896d402cd9ab1fd96,Аналитик экономических показателей,от  35000руб. месяц 
614eddb896d402cd9ab1fd97,Ведущий инженер по сопровождению,от  89000руб. месяц 
614eddbb96d402cd9ab1fd98,Инженер внедрения и сопровождения (Platform V),от  69300руб. месяц 
614eddbc96d402cd9ab1fd99,Ведущий инженер по нагрузочному тестированию Вологда,120000  руб. месяц 
614eddbf96d402cd9ab1fd9a,DevOps инженер,от  40000руб. месяц 
614eddc296d402cd9ab1fd9b,Консультант по интеграции SAP,от  28000руб. месяц 
614eddc296d402cd9ab1fd9c,Представитель владельца моделей,от  55000руб. месяц 
614eddc396d402cd9ab1fd9d,Руководитель направления портфельного анализа (Collection),
614eddc796d402cd9ab1fd9e,Системный аналитик в трайб Риски розничного бизнеса,
614eddc996d402cd9ab1fd9f,Java разработчик,150000 170000  руб. месяц 
614ede9ed33a26efd9122d7d,,Вибрационный насос СОЮЗ Малыш НГС-97128В,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/90122745.jpg']",
614edea0d33a26efd9122d7e,,"Насос погружной колодезный Oasis 25,50, высота подъема 50 м, 1500 л,час","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_01.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_02.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_03.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_04.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_05.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_06.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_07.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/82378831_drw.jpg']",
614edea5d33a26efd9122d81,,"Скважинный насос ДЖИЛЕКС Водомет ПРОФ 40,75","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769033.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769033_01.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769033_02.jpg']",
614edea6d33a26efd9122d82,,"Насос циркуляционный ПРИМА UPS32,60 180","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722766.jpg']",
614edea9d33a26efd9122d83,,"Насос циркуляционный КАМА RS 32,6-180","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722718.jpg']",
614edeabd33a26efd9122d86,,"Скважинный насос КАМА 95НПС14-1,1-2,70","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722690.jpg']",
614edeafd33a26efd9122d8b,,"Насос циркуляционный КАМА КАМА-17 НБЦ-800,35","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722707.jpg']",
614edeb4d33a26efd9122d91,,Насос-измельчитель SFA Sanitop,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11397242.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11397242_01.jpg']",
614edeb5d33a26efd9122d92,,Насос циркуляционный UNIPUMP UPC 25-40 180,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769170.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769170_01.jpg']",
614edeb8d33a26efd9122d94,,Насос циркуляционный КАМА НПД-120-15,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722709.jpg']",
614edebcd33a26efd9122d99,,"Насос циркуляционный ПРИМА NC-400,36","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93722752.jpg']",
614edeb8d33a26efd9122d95,,Насос санитарный SFA Sanivite,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11116770.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11116770_01.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11116770_02.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/11116770_03.jpg']",
614edebfd33a26efd9122d9d,,"Насос циркуляционный Oasis 32,8 180 мм","['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/13715072.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/13715072_drw_05.jpg']",
614edec1d33a26efd9122da0,,Скважинный насос UNIPUMP ECO VINT 2,"['https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769149.jpg', 'https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_2000,h_2000,c_pad,b_white,d_photoiscoming.png/LMCode/93769149_01.jpg']",
